album_,artists_,track_name,release_year,release_month,duration_min,explicit,popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,status
I Won't Wait,Joey B,Turn The Light On,2008,September,5.218883333,False,0,8,1,4,0.14400000000000002,0.647,0.8170000000000001,1.9600000000000002e-05,0.128,-5.125,0.0284,0.348,119.978,non_hit
Pen & Paper,Ko-Jo Cue,Hmmmh,2017,November,3.425,True,1,9,0,4,0.912,0.669,0.5379999999999999,0.0,0.149,-9.454,0.168,0.722,82.39399999999999,non_hit
Before We Shine 2: The Cremation Of Care,Ko-Jo Cue,W.in.K,2016,September,3.7255,False,0,9,1,4,0.298,0.545,0.852,0.0,0.795,-5.082,0.13699999999999998,0.601,91.90799999999999,non_hit
Million Miles Mixtape,Shatta Wale,Dem a Talk About Me,2015,March,4.364216667,False,1,7,1,4,0.45,0.8420000000000001,0.24100000000000002,0.0,0.0974,-16.879,0.449,0.831,96.85600000000001,non_hit
Da Revolution,R2Bees,Run da City (feat. Samini),2009,July,5.079116667,True,10,1,1,4,0.0539,0.716,0.6990000000000001,0.0,0.306,-6.888999999999999,0.0362,0.88,115.01700000000001,hit
Shay On You,Wendy Shay,Mama,2019,January,4.237933333,False,23,0,1,4,0.8190000000000001,0.5529999999999999,0.37799999999999995,8.12e-06,0.0856,-8.854,0.0554,0.622,83.396,hit
Fakye,Nana Quame,Me Mpene,2015,April,5.242000000000001,False,1,3,0,4,0.0401,0.672,0.785,0.161,0.261,-7.54,0.0359,0.917,106.941,non_hit
Awosoc,Daddy Lumba,Awosoc,2015,January,5.581783333,False,17,8,1,4,0.331,0.765,0.713,0.00511,0.0545,-11.147,0.0542,0.927,127.00299999999999,hit
Awosoc,Daddy Lumba,Nea Nyame Tumi Ye,2015,January,4.966,False,19,5,1,4,0.373,0.711,0.951,1.99e-05,0.263,-5.202000000000001,0.0339,0.9129999999999999,107.01299999999999,hit
Samini,Samini,Samini,2019,January,5.24365,False,1,6,1,4,0.20800000000000002,0.708,0.963,0.0,0.11199999999999999,-3.677,0.0522,0.977,139.977,non_hit
